flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
0,7,12,186,18,276,27,40,71,600,7,33,71.0,12.0,213.0,10,6,1,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10
0,43,24,430,202,18,21,229,147,1000,6,6,87.0,7.0,159.0,22,6,2,2,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10
1,10,1,29,319,15,0,399,144,2000,10,19,65.0,6.0,95.0,12,0,1,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10
1,19,1,172,369,227,16,464,143,2000,8,17,74.0,11.0,110.0,16,0,1,2,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10
1,42,5,436,302,111,7,373,209,800,5,33,111.0,3.0,70.0,10,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,36,1,408,290,383,27,384,165,400,5,35,111.0,15.0,180.0,9,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,43,24,429,163,333,16,297,101,1000,6,6,96.0,7.0,498.0,21,6,2,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
1,36,1,408,292,452,27,365,165,3500,12,19,116.0,10.0,95.0,10,0,2,3,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10
1,26,0,168,371,412,2,454,16,3000,5,14,82.0,36.0,60.0,16,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,34,5,1,377,7,0,461,165,400,5,33,103.0,13.0,55.0,17,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,15,13,237,111,297,0,344,164,800,4,2,90.0,1.0,870.0,19,6,2,2,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10
0,48,0,302,28,467,27,25,125,1200,5,7,80.0,19.0,66.0,12,6,1,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10
0,21,15,339,172,235,11,177,180,800,5,30,88.0,22.0,102.0,22,6,1,3,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10
1,37,0,400,332,425,2,432,131,2800,10,9,101.0,19.0,160.0,13,0,0,3,1,1,0,0,1,1,2,2,10,20.0,30.0,8,10
0,21,13,256,114,368,2,120,112,800,5,30,90.0,1.0,96.0,19,6,2,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,40,6,184,171,133,27,155,21,500,6,33,73.0,29.0,57.0,22,6,0,1,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10
0,2,11,265,159,49,2,241,59,1000,6,11,65.0,18.0,340.0,21,6,0,3,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
1,13,24,197,269,65,2,358,200,1200,6,6,112.0,6.0,180.0,8,0,2,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
0,11,24,270,114,269,27,164,201,700,5,31,84.0,12.0,205.0,19,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,47,17,180,176,461,27,207,43,3000,12,19,82.0,14.0,154.0,22,6,1,3,1,0,0,0,1,1,2,1,12,20.0,0.0,3,10
1,16,0,56,288,419,27,389,180,2500,10,27,95.0,5.0,205.0,9,0,1,2,1,1,1,1,1,1,0,0,10,30.0,45.0,15,10
1,39,5,401,332,298,2,428,158,3000,12,23,85.0,5.0,150.0,13,0,2,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10
0,11,24,224,142,88,0,128,22,900,5,31,70.0,11.0,57.0,21,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,24,8,96,40,327,27,64,37,700,4,2,111.0,31.0,181.0,13,6,0,2,1,1,1,0,1,1,0,0,4,30.0,45.0,8,10
